NAME	ID	DISPATCH	STATUS	END_TIME	DUR
move-in	0	1497907548034699916	ACHVD	1497907552122298002	4.087598086
move	3	1497907553036139011	FAILED	1497907558407088994	5.370949983
transport-product	25	1497907552372873067	FAILED	1497907558415349006	6.042475939
move	5	1497907553034356117	FAILED	1497907558440890073	5.406533956
move	1	1497907553044083118	FAILED	1497907558614953994	5.570870876
insert-cap	6	1497907553169364929	FAILED	1497907558614634990	5.445270061
transport-material	11	1497907553346735000	FAILED	1497907558616672039	5.269937039
move-in	2	1497907553048307895	ACHVD	1497907560517590999	7.469283104
move-in	4	1497907553050344944	ACHVD	1497907583047025918	29.996680974
move	10	1497907558616002082	ACHVD	1497907584523490905	25.907488823
